t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,host_mem_used_mib
262.04,28.26,4012.8,,,,,56.53,2820.4
263.04,50.0,4037.3,,,,,100.0,2817.9
264.04,50.0,4061.9,,,,,100.0,2823.6
265.04,27.97,4084.7,,,,,55.94,2826.0
266.04,50.0,4035.5,,,,,100.0,2826.1
267.04,28.28,4037.3,,,,,56.56,2823.9
268.04,50.0,4037.3,,,,,100.0,2820.6
269.04,50.0,4061.9,,,,,100.0,2824.4
270.04,50.0,4060.1,,,,,100.0,2826.3
271.04,27.97,4035.5,,,,,55.94,2826.3
272.04,50.0,4012.8,,,,,100.0,2824.1
273.04,27.98,4061.9,,,,,55.95,2824.4
274.04,50.0,4061.9,,,,,100.0,2823.2
275.04,50.0,4060.1,,,,,100.0,2826.6
276.04,50.0,4012.7,,,,,100.0,2826.7
277.04,27.96,4012.8,,,,,55.92,2821.8
278.04,50.0,4037.3,,,,,100.0,2824.6
279.04,27.96,4086.4,,,,,55.92,2824.8
280.04,50.0,4060.0,,,,,100.0,2826.4
281.04,50.0,3987.9,,,,,100.0,2827.2
282.04,0.01,1685.5,,,,,0.03,2827.0
